74000	0	0.001	0.426	4.098	0.091
74500	0	0.001	0.433	4.152	0.092
75000	0	0.001	0.438	4.211	0.094
75500	0	0.001	0.443	4.261	0.094
76000	0	0.001	0.448	4.316	0.095
76500	0	0.001	0.454	4.378	0.096
77000	0	0.001	0.46	4.456	0.097
77500	0	0.002	0.469	4.651	0.097
78000	0	0.001	0.472	4.533	0.098
78500	0	0.001	0.48	4.593	0.1
79000	0	0.001	0.479	4.646	0.1
79500	0	0.001	0.486	4.708	0.101
80000	0	0.001	0.493	4.769	0.102
80500	0	0.001	0.498	4.829	0.102
81000	0	0.001	0.505	4.891	0.104
81500	0	0.001	0.51	4.952	0.106
82000	0	0.001	0.516	5.012	0.106
82500	0	0.001	0.522	5.077	0.107
83000	0	0.001	0.528	5.133	0.108
83500	0	0.001	0.535	5.228	0.109
84000	0	0.001	0.543	5.265	0.109
84500	0	0.001	0.546	5.325	0.111
85000	0	0.001	0.552	5.392	0.112
85500	0	0.001	0.559	5.456	0.112
86000	0	0.001	0.566	5.516	0.114
86500	0	0.001	0.572	5.582	0.115
87000	0	0.001	0.578	5.649	0.116
87500	0	0.001	0.584	5.715	0.117
88000	0	0.001	0.592	5.787	0.117
88500	0	0.001	0.597	5.849	0.121
89000	0	0.001	0.606	5.961	0.119
89500	0	0.001	0.61	5.982	0.12
90000	0	0.001	0.616	6.054	0.122
90500	0	0.001	0.625	6.119	0.123
91000	0	0.001	0.63	6.194	0.124
91500	0	0.001	0.637	6.258	0.125
92000	0	0.001	0.643	6.337	0.126
92500	0	0.001	0.652	6.4	0.127
93000	0	0.001	0.656	6.462	0.128
93500	0	0.001	0.664	6.555	0.13
94000	0	0.001	0.671	6.7	0.13
94500	0	0.001	0.677	6.675	0.131
95000	0	0.001	0.684	6.747	0.132
95500	0	0.001	0.691	6.822	0.133
96000	0	0.001	0.699	6.889	0.134
96500	0	0.001	0.705	7.022	0.136
97000	0	0.001	0.712	7.039	0.141
97500	0	0.001	0.719	7.109	0.138
98000	0	0.001	0.735	7.206	0.138
98500	0	0.001	0.733	7.254	0.139
99000	0	0.001	0.739	7.36	0.141
99500	0	0.001	0.753	7.406	0.142
